rank,name,ioc,dob
999,Sara Victoria Balan,ROU,
1000,Alexandra Vasilyeva,RUS,2001/12/18
1001,Arina Arifullina,RUS,2006/1/22
1002,Marie Mattel,FRA,2000/1/7
1003,Darja Suvirdjonkova,SRB,2005/6/16
1004,Sofia Da Cruz Mendonca,BRA,2002/3/9
1005,Elizabeth Coleman,USA,2003/3/21
1006,Ha Eum Lee,KOR,2008/6/24
1007,Gloriana Goreti Nahum,BEN,2006/10/2
1008,Gabriella Broadfoot,RSA,2004/11/1
1009,Yuhan Liu,CHN,2003/8/31
1010,Fang An Lin,TPE,2005/5/16
1011,Yanan Hou,CHN,2005/5/27
1012,Gaia Squarcialupi,ITA,1997/10/23
1013,Barbora Michalkova,CZE,2006/4/3
1014,Natsuho Arakawa,JPN,1997/9/3
1015,Patricia Georgiana Goina,ROU,2005/3/25
1016,Helena Stevic,FRA,2002/3/5
1017,Freya Christie,GBR,1997/11/8
1018,Luna Maria Cinalli,ARG,
1019,Tegan Bush,GBR,2008/11/2
1020,Diae El Jardi,MAR,2000/10/13
1021,Suha Lee,KOR,2008/12/8
1022,Catherine Aulia,AUS,2004/5/7
1023,Sonja Zhiyenbayeva,GER,2006/7/2
1025,Barbara Kostecka,POL,2009/6/4
1025,Lily Taylor,AUS,2006/9/2
1027,Polina Skliar,UKR,2010/10/24
1028,Seda Baslilar,FRA,2008/5/11
1029,I Wen Wan,TPE,2006/11/4
1030,Claudia Sofia Martinez Solis,MEX,2004/3/2
1031,Sara Mikaca,BIH,2003/3/24
1032,Nicole Gadient,SUI,1998/8/7
1033,Cindy Langlais,FRA,
1034,Victoria Luiza Barros,BRA,
1035,Marie Benoit,BEL,1995/3/16
1036,Kim Chiarello,FRA,2004/6/28
1036,Lea Tholey,FRA,1995/9/3
1038,Yu Jun Lin,CHN,
1039,Janae Preston,USA,2010/8/13
1040,Lucie Pawlak,FRA,2006/4/12
1041,Tamira Paszek,AUT,1990/12/6
1042,Anna Sedysheva,RUS,
1043,Zuzanna Kolonus,POL,2005/6/29
1044,Lucia Peyre,ARG,2005/7/26
1045,Anna Kartseva,RUS,
1046,Ulyana Hrabavets,BLR,
1047,Cara Korhonen,AUS,
1048,Miyu Nakashima,JPN,2001/1/5
1049,Sina Herrmann,GER,2001/10/24
1050,Krystyna Pochtovyk,UKR,1998/9/15
1051,Jenna Dean,USA,2000/6/18
1052,Brandy Walker,USA,1997/5/21
1053,Amelie Justine Hejtmanek,GER,
1054,Maria Paulina Perez Garcia,COL,1996/1/10
1055,Maaya Rajeshwaran Revathi,IND,2009/6/12
1056,Selina Atay,TUR,2001/11/20
1057,Mariana Isabel Higuita Barraza,COL,2007/6/14
1058,Giselle Isabella Guillen,AUS,2008/5/21
1059,Charlotte Keitel,GER,2005/4/25
1059,Kennedy Drenser Hagmann,USA,2009/4/3
1061,Nina Radovanovic,FRA,2003/10/22
1062,Andrea Obradovic,SRB,2004/5/18
1063,Lorena Schaedel,GER,
1064,Lisa Claeys,BEL,2003/3/9
1065,Jeong Moon,KOR,
1065,Kamonwan Yodpetch,THA,2007/9/10
1067,Carlotta Moccia,ITA,2003/3/17
1068,Luana Plaza Araujo,BRA,2005/8/14
1069,Ksenia Laskutova,RUS,1996/8/29
1070,Meritxell Teixido Garcia,ESP,2007/6/30
1070,Sofia Martianova,RUS,
1072,Ru Xi Wu,CHN,2008/8/1
1073,Katarzyna Piter,POL,1991/2/16
1074,Maribella Zamarripa,USA,2002/8/15
1075,Ada Kumru,TUR,
1076,Nadia Kulbiej,POL,2007/4/26
1077,Qiu Yu Ye,CHN,1997/11/29
1078,Laetitia Sarrazin,FRA,1993/3/8
1079,Kiara Zabkova,SVK,2007/5/16
1080,Lani Chang,USA,
1081,Daria Kuczer,POL,1999/2/26
1082,Mandegar Farzami,IRI,
1083,Riko Kikawada,JPN,
1084,Alisa Vasileva,RUS,2005/10/21
1085,Maayan Laron,ISR,2007/7/18
1086,Judith Perello Saavedra,ESP,2002/1/23
1087,Kolie Allen,USA,2000/3/17
1088,Sofiia Suslova,RUS,2004/8/9
1089,Josefina Estevez,ARG,2007/12/19
1090,Eva Marie Desvignes,FRA,
1090,Karolina Vlckova,CZE,2000/10/17
1090,Katerina Mandelikova,CZE,2003/6/13
1093,Vlada Ekshibarova,UZB,1989/3/14
1094,Asylzhan Arystanbekova,KAZ,2006/3/1
1094,Ilinca Sagmar,ROU,
1096,Malkia Menguene,USA,2000/8/8
1097,Andjela Lazarevic,SRB,2005/6/20
1098,Giuliana Bestetti,ITA,1997/10/1
1098,Maelle Leclercq,FRA,2004/1/19
1100,Francesca Gandolfi,ITA,
1101,Isabella Marton,CAN,2008/4/10
1102,Valerie Glozman,USA,2006/11/22
1103,Tayisiya Morderger,GER,1997/3/7
1104,Rebeca Pereira,BRA,1993/3/23
1105,Daniela Piani,GBR,2007/4/21
1106,Denisa Hindova,CZE,2002/7/17
1107,Eleonora Alvisi,ITA,2003/3/13
1108,Welles Newman,USA,
1109,Jahnie Van Zyl,RSA,2009/2/17
1110,Olga Helmi,DEN,2000/3/27
1111,Emma Kamper,DEN,2004/6/25
1111,Stefania Rogozinska Dzik,POL,2001/7/7
1113,Milana Maslenkova,UZB,2001/8/13
1114,Warona Mdlulwa,RSA,2000/2/17
1115,Mia Wainwright,GBR,
1116,Juliana Giaccio,ESP,
1117,Annabelle Xu,CAN,
1118,Anna Lena Ebster,AUT,2004/1/6
1119,Elena Jamshidi,DEN,2001/3/16
1120,Claudia Gasparovic,AUT,2004/10/28
1121,Anna Tabunshchyk,CAN,
1122,Tianmi Mi,CHN,2004/6/26
1123,Natalia Krockova,SVK,
1124,Marina Bulbarella,ARG,2005/9/21
1125,Dejana Radanovic,SRB,1996/5/14
1125,Denisa Zoldakova,CZE,
1127,Kate Fakih,USA,2006/10/30
1127,Luciana Perry,USA,
1129,Alice Ferlito,ESP,
1130,Eliz Maloney,GBR,2000/8/10
1130,Federica Bilardo,ITA,1999/7/6
1132,Yleymi Lugiana Muelle Valdez,PER,2008/5/23
1133,Ava Monet Sycamore,AUS,
1134,Maria Kononova,RUS,1997/3/4
1135,Margaret Sohns,USA,
1136,Alexandra Irina Anghel,ROU,2007/3/12
1137,Kianah Motosono,USA,
1137,Tori Kinard,USA,1987/11/24
1139,Cristiana Nicoleta Todoni,ROU,2006/12/6
1139,Sydney Jara,USA,
1141,Liv Boulard,FRA,2008/1/2
1142,Ayline Esina Samardzic,CRO,2002/11/10
1143,Viktoria Veleva,BUL,2004/4/7
1144,Emma Slavikova,CZE,2003/1/24
1145,Jizel Matos Sequeira Fernandes,GBR,2001/2/7
1146,Sara Lanca,POR,1997/3/2
1147,Marian Gomez Pezuela Cano,MEX,2001/9/24
1148,Aishi Das,NZL,
1149,Ava Beck,AUS,
1150,Anastasia Sysoeva,RUS,2003/4/5
1151,Vivian Yang,NZL,2005/1/11
1152,Zaire Clarke,USA,
1153,Berta Passola,ESP,
1153,India Houghton,USA,2002/2/16
1153,Kira Bataikina,RUS,2007/12/14
1153,Xinle Geng,CHN,2010/11/24
1157,Aravane Rezai,FRA,1987/3/14
1158,Mia Slama,USA,
1158,Raveena Kingsley,USA,1998/7/23
1160,Emma Wilson,GBR,1997/2/18
1161,Karla Bartel,GER,
1162,Manca Pislak,SLO,1997/9/9
1163,Anri Nagata,JPN,2000/5/3
1164,Emma Van Poppel,NED,
1165,Mavie Osterreicher,AUT,2002/4/5
1166,Barbara Straszewska,POL,
1166,Polina Kaibekova,RUS,2006/11/3
1168,Feier Hu,CHN,
1169,Leticia Garcia Vidal,BRA,1997/3/13
1170,Aoi Ide,JPN,
1171,Alina Trynkina,RUS,
1172,Nao Nishino,JPN,
1173,Anastasia Efremova,RUS,
1173,Karine Marion Job,FRA,2001/5/6
1173,Vlada Zvereva,BLR,2001/9/15
1176,Jaedan Brown,USA,
1176,Mouna Bouzgarrou,TUN,1999/10/13
1178,Kseniia Ruchkina,RUS,2010/1/19
1179,Klara Kosan,USA,2001/10/8
1180,Georgina Groth,GER,
1181,Tara Moore,GBR,1992/8/6
1182,Jennifer Rosa Dourado,BRA,2000/12/11
1182,Paola Lopez,USA,
1184,Marcella Dessolis,ITA,
1184,Milla Sequeira,SUI,2003/8/24
1186,Isabella Svahn,SWE,2006/6/22
1186,Katarina Kujovic,BEL,
1188,Alisa Danilova,RUS,1993/4/7
1189,Lourdes Ayala,ARG,2006/6/18
1190,Sarafina Hansen,DEN,2005/6/7
1190,Tanisha Kashyap,IND,2002/4/25
1192,Barbara Dessolis,ITA,2001/9/21
1193,Renee Alame,AUS,
1194,Min Liu,CHN,1993/2/5
1195,Kanon Sawashiro,JPN,
1196,Kali Supova,SVK,
1197,Piper Charney,USA,2005/7/6
1198,Celia Anson Sanchez,ESP,
1198,Cristina Ramos Sierra,ESP,
1200,Anastasia Lizunova,RUS,
1200,Emily Sartz Lunde,NOR,2006/1/12
1202,Karolina Mrazikova,SVK,2004/10/26
1202,Lucrezia Musetti,ITA,
1204,Fabienne Gettwart,GER,1996/1/3
1204,Giulia Alessia Monteleone,ITA,
1204,Sera Nishimoto,JPN,2001/1/2
1207,Ciara Moore,GBR,
1208,Sofia Cohen Perovani,BRA,2006/7/16
1209,Jiho Shin,KOR,2002/3/8
1209,Kaede Usui,USA,
1209,Lexue Xiao,CHN,2006/11/18
1209,Sevil Yuldasheva,UZB,2002/1/9
1213,Lara Smejkal,SLO,2004/8/7
1214,Anjali Rathi,IND,2006/2/28
1214,Bunyawi Thamchaiwat,THA,1998/7/29
1214,Julita Saner,SWE,1999/4/29
1217,Lucia Natal Gomez,ESP,1999/5/31
1218,Dia Evtimova,BUL,1987/4/30
1219,Francesca Delledera,ITA,1996/6/28
1219,Hania Abouelsaad,EGY,2003/1/29
1219,Jasmine Conway,GBR,2004/12/21
1222,Lois Newberry,GBR,2007/1/9
1222,Rachael Smith,USA,
1224,Ana Victoria Gobbi Monllau,ARG,1996/12/26
1225,Emily De Oliveira,USA,2003/3/1
1226,Elena Giessler,GER,2002/12/21
1227,Caterina Odorizzi,ITA,
1227,Laura Boehner,GER,2001/7/30
1229,Summer Yardley,GBR,2000/1/28
1230,Maria Oliver Sanchez,ESP,2000/5/14
1231,Yana Morderger,GER,1997/3/7
1232,Naoko Eto,JPN,1984/12/17
1233,Qianhui Tang,CHN,2000/9/10
1234,Tori Russell,AUS,2010/5/7
1235,Zoe Hitt,USA,2001/3/8
1236,Carla Giambelli,ITA,2008/2/23
1237,Victoria Mulville,USA,2001/12/15
1238,Anna Kmiecik,POL,
1238,Ariadna Garcia Patron Canals,ESP,
1238,Isabel Skoog,SWE,
1238,Maria Garcia,POR,2006/10/3
1242,Camila Markus,ARG,2008/12/9
1243,Dusica Popovski,SRB,
1243,Marjorie Souza,BRA,
1245,Khrystyna Vozniak,UKR,
1245,Pilar Beveraggi Lespiau,ARG,2006/6/5
1247,Liel Marlies Rothensteiner,AUT,2005/1/25
1247,Rianna Alame,AUS,2007/8/21
1249,Lyubov Kostenko,UKR,2003/3/28
1249,Maria Mikhailova,RUS,2002/5/28
1249,Tamara Sramkova,SVK,
1252,Gloria Ceschi,ITA,1998/5/24
1252,Maelys Bougrat,FRA,2002/3/21
1254,Polina Isakova,UKR,
1255,Mutsumi Uemura,JPN,
1256,Melis Rasim,BUL,
1257,Lucia Llinares Domingo,ESP,2003/5/2
1258,Maria Jose Sanchez Uribe,COL,
1259,Brenda Fruhvirtova,CZE,2007/4/2
1260,Adela Polakovicova,SVK,
1260,Brandelyn Fulgenzi,USA,
1260,Leonie Schuknecht,DEU,
1260,Mia Kupres,CAN,2004/1/12
1260,Yoana Konstantinova,BUL,2007/6/1
1265,Capucine Jauffret,USA,
1265,Daniela Darta Feldmane,LAT,2007/8/3
1267,Olivia Bergler,POL,
1268,Akiko Omae,JPN,1993/1/29
1268,Kaat Coppez,BEL,2005/3/17
1268,Valentina Abril Bruno,ARG,
1271,Ashmitha Easwaramurthi,IND,1989/7/17
1272,Soo Ha Jang,KOR,2004/12/28
1273,Soha Sadiq,IND,1998/6/26
1273,Yui Chikaraishi,JPN,1999/1/26
1275,Charlotte Pikkaart,NED,2006/12/3
1275,Charlotte Van Zonneveld,NED,2004/7/12
1275,Daria Gorska,POL,2005/4/28
1275,Jade Groen,NED,2004/7/9
1275,Mariia Bergen,UKR,2001/6/12
1280,Catarina Melleiro Ibiraba Melleiro Junior,BRA,2003/12/15
1280,Chantal Sauvant,GER,2002/5/8
1280,Danique Havermans,NED,2002/4/22
1280,Elena Grekul,UKR,2004/5/15
1280,Gala Ivanovic,SRB,
1280,Honori Koyama,JPN,
1280,Laura Brunkel,DEN,2006/5/13
1280,Maddy Zampardo,USA,
1280,Margaux Komano,FRA,2001/12/25
1280,Nana Kawagishi,JPN,2000/9/7
1290,Amanda Carolina Nava Elkin,MEX,1998/6/22
1290,Beatris Spasova,BUL,2002/4/2
1292,Himari Sato,JPN,2002/4/10
1293,Paula Ormaechea,ARG,1992/9/28
1294,Analu Freitas,POR,2007/9/12
1295,Christina Mchale,USA,1992/5/11
1295,Sarah Mildren,AUS,2008/4/4
1297,Audrey Aulia,AUS,
1297,Camilla Bossi,BRA,2003/5/16
1297,Elena Michel,FRA,
1297,Heidi Bulger,USA,
1297,Ida Johansson,SWE,2004/5/6
1297,Sol Rabin,ARG,
1297,Sophie Llewellyn,USA,2006/1/24
1297,Vanessa Ioana Georgiana Popa Teiusanu,ROU,2004/1/5
1297,Yashaswini Panwar,IND,2001/11/17
1297,Yuka Hosoki,JPN,1999/5/20
1307,Benedetta Ortenzi,ITA,
1307,Chia Yi Tsao,TPE,2003/12/2
1307,Heerae Im,KOR,2004/2/11
1307,Jiayu Xu,CHN,
1307,Maja Pawelska,POL,
1307,Oriana Gniewkowska,POL,
1307,Zdena Safarova,CZE,2003/8/20
1314,Julie Myatovic,FRA,2007/3/20
1314,Kenzie Nguyen,USA,
1314,Lara Schmidt,GER,1999/10/13
1314,Ximena Senties,MEX,2006/6/22
1318,Avery Alexander,CAN,2009/11/23
1318,Isabel Adrover Gallego,ESP,2001/6/23
1320,Aleksandra Pozarenko,RUS,
1320,Anastasia Grechkina,RUS,2005/10/25
1320,Aya El Sayed,EGY,2001/5/31
1320,Laura Cilekova,SVK,
1320,Mariia Masiianskaia,RUS,2007/3/22
1320,Massiva Boukirat,FRA,
1320,Najah Dawson,USA,2001/9/9
1320,Seo Yun Choi,KOR,
1328,Mirjana Jovanovic,SRB,
1329,Chiara Fornasieri,ITA,2003/9/26
1329,Tenika Mcgiffin,AUS,
1329,Vivien Sandberg,GER,2001/2/28
1329,Yuka Naito,JPN,
1333,Pietra Rivoli,BRA,2008/3/11
1334,Teresa Franco Dias,POR,1999/9/29
1335,Madalena Matias,POR,2008/10/30
1335,Saumya Vig,IND,1995/2/13
1337,Nehira Sanon,FRA,
1338,Amelie Brooks,GBR,2006/9/14
1338,Anika Jaskova,SVK,2003/4/17
1338,Ria Dernikovic,CRO,2005/8/30
1341,Alexia Lavinia Puiac,ROU,
1341,Camila Rodero,CHI,
1341,Carla Tomai,POR,2005/5/31
1341,Claire An,USA,
1341,Ellie Daniels,CAN,
1341,Emma Jackson,USA,2002/11/23
1341,Gabriela Maria Vancea,ROU,2007/8/16
1341,Giovana Schincariol Delatorre Barbosa,BRA,
1341,Ho Ching Wu,HKG,1991/8/30
1341,Ioana Teodora Sava,ROU,
1341,Isabella Harvison,USA,2001/7/6
1341,Julia Victoria Rennert,GER,2001/1/8
1341,Lola Giza,GER,
1341,Maria Andrienko,RUS,2004/5/23
1341,Megan Heuser,USA,
1341,Naomi Xu,CAN,
1341,Nikola Breckova,CZE,2001/7/14
1341,Nina Sozaonova,RUS,2007/1/17
1341,Rita Colyer,CAN,
1341,Sana Garakani,IRI,
1341,Yui Ohwaki,JPN,
1341,Zi Ying Ruan,CHN,
1363,Darya Velikova,BUL,2004/8/19
1364,Angelica Sara,ITA,
1364,Aurora Urso,ITA,2000/10/5
1364,Daria Belyaeva,RUS,
1364,Eunji Lee,KOR,2001/6/21
1364,Ginevra Parentini Vallega Montebruno,ITA,2003/4/4
1364,Laura Badia,BRA,2006/9/26
1364,Melina Maria Maruca,ARG,2002/5/20
1364,Xichen Zhao,CHN,2003/1/31
1364,Yuna Ohashi,JPN,
1373,Stefanie Voegele,SUI,1990/3/10
1374,Emily Webley Smith,GBR,1984/7/14
1375,Yuyao Li,CHN,
1376,Ana Petkovic,CRO,
1376,Maria Eduarda Carbone Dos Santos,BRA,2010/5/27
1378,Lya Fernandez,MEX,2007/7/24
1379,Alexa Karatancheva,BUL,2007/9/3
1379,Alice Battesti,FRA,
1379,Anastasiya Lopata,UKR,2004/12/20
1379,Claudia Hoste Ferrer,ESP,1998/11/12
1379,Dominika Podhajecka,POL,
1379,Emilija Tverijonaite,LTU,2004/12/10
1379,Emma Charney,USA,2003/3/16
1379,Fernanda Guadalupe Regalado Macias,MEX,2000/4/19
1379,Heike Janse Van Vuuren,RSA,2004/8/30
1379,Helena Buchwald,GER,2005/6/15
1379,Iulia Maria Buculei,ROU,
1379,Jensen Diianni,USA,2009/6/10
1379,Julia Khramtsova,RUS,
1379,Klaudija Bubelyte,LTU,2003/3/29
1379,Kristina Paskauskas,GBR,2004/6/12
1379,Lana Virc,SRB,2008/4/23
1379,Mathilde Ngijol Carre,FRA,
1379,Melissa Boyden,NED,2003/6/24
1379,Michela Castro Zunino,PER,
1379,Moeka Miyata,JPN,
1379,Nahjime Dho,FRA,
1379,Nigina Abduraimova,UZB,1994/7/7
1379,Paulina Montiel,MEX,
1379,Phillippa Preugschat,GER,2002/9/20
1379,Pia Praefke,GER,2002/10/23
1379,Ran Wakana,JPN,
1379,Ruirui Zou,CHN,
1379,Valeriia Shvetsova,RUS,2007/8/2
1379,Yiru Chen,CHN,
1408,Anastasia Mozgaleva,RUS,2001/10/23
1408,Angela Cui,AUS,
1408,Ela Plosnik,SLO,
1408,Hanna Bougouffa,FRA,2004/1/31
1408,Ines Leon,ESP,
1408,Iulia Bucea,CAN,
1408,Madhurima Sawant,IND,
1408,Prathyusha Rachapudi,IND,
1408,Sofiia Nagornaia,RUS,2003/10/4
1417,Alessia Popescu,ROU,2004/11/11
1417,Holly Hutchinson,GBR,1997/9/11
1417,Maria Eduarda Lages,BRA,2004/7/7
1417,Mariam Atia,EGY,2005/8/11
1417,Meshkatolzahra Safi,IRI,2004/8/5
1417,Milena Ciocan,FRA,
1423,Bianca Jolie Fernandez,CAN,2004/2/24
1423,Fang Ying Xun,CHN,1995/1/14
1423,Mariia Nozdrachova,UKR,2009/6/12
1426,Camille Allegre,USA,
1426,Cayetana Gay,ESP,2006/10/13
1426,Gurmanat Kaur Sandhu,AUS,
1426,Kseniya Yersh,BLR,2001/1/20
1426,Mia Yamakita,USA,2007/3/19
1426,Olympe Lancelot,FRA,2001/5/14
1426,Venla Ahti,FIN,2000/12/15
1426,Yichen Zhao,CHN,2006/3/16
1434,Alice Soulie,FRA,
1434,Aliesia Reva,UKR,2006/2/11
1434,Alina Yuneva,RUS,2008/7/10
1434,Antonina Sushkova,UKR,
1434,Aurora Corvi,ITA,
1434,Aurora Nosei,ITA,2007/3/11
1434,Celine Simunyu,IRL,2004/7/23
1434,Chrystal Lopez,BEL,
1434,Denise Valente,ITA,2004/5/14
1434,Havah Kaur Kaler,CAN,2009/8/1
1434,Helena Bueno,BRA,2007/7/25
1434,Joody Elkady,EGY,2006/2/25
1434,Kristina Belkova,RUS,
1434,Maria Penalver Aguilo,ESP,2002/11/1
1434,Na Hyun Kang,KOR,2004/6/26
1434,Nika Hurkacz,POL,
1434,Polina Skopintseva,RUS,2005/7/23
1434,Sol Ailin Larraya Guidi,ARG,2008/2/21
1434,Xenia Bandurowska,POL,2004/9/17
1434,Yuzuha Negishi,JPN,2008/12/22
1454,Maryna Kolb,UKR,1997/3/13
1454,Saisai Zheng,CHN,1994/2/5
1456,Anna Yang,CHN,
1456,Daniela Martinez Guerrero,MEX,
1456,Yihan Qu,CHN,2009/3/22
1460,Abril Cardenas Oliveras,MEX,2009/1/28
1460,Amalia Suciu,POR,
1460,Lena Couto,POR,2007/6/1
1460,Nala Kovacic,SLO,2007/1/1
1460,Olga Bienzobas Fernandez,ESP,2002/8/4
1460,Vlada Kozak,GBR,
1466,Aglaya Fedorova,RUS,2004/2/5
1466,Agustina Soto Neira,CHL,
1466,Ana Carmen Zamburek,DOM,2003/3/16
1466,Ana Giraldi Requena,ESP,2000/1/11
1466,Anastasia Safta,ROU,2004/10/28
1466,Anya Arora,USA,
1466,Ava Schueller,AUT,2006/4/1
1466,Bruna Liotto De Carvalho,BRA,2007/5/28
1466,Carlota Corte,ESP,
1466,Carolann Delaunay,NCL,2004/5/26
1466,Delia Gaillard,FRA,2006/1/10
1466,Diana Yakovleva,UZB,2005/11/4
1466,Dominika Pirohova,SVK,2006/7/28
1466,Duanrui Gao,CHN,2006/11/18
1466,Ekaterina Agureeva,RUS,2004/4/2
1466,Elizabeth Ivanov,AUS,
1466,Elsa Wan,MAS,2003/12/8
1466,Elvira Juravliova,MDA,1997/3/15
1466,Emma Mazzoni,FRA,1998/10/15
1466,Emma Ottavia Ghirardato,ITA,2005/1/31
1466,Gloria Contrino,ITA,2003/1/26
1466,Isabel Arabarco,ARG,
1466,Isabelle Cherny,GBR,2004/3/23
1466,Jaquelyn Ogunwale,GBR,2005/2/4
1466,Juliette Mazzoni,FRA,2000/6/7
1466,Juliette Trunet,FRA,2007/1/17
1466,Katherine Hui,USA,2005/1/29
1466,Kurumi Tamura,JPN,
1466,Larisa Arnautovic,AUS,
1466,Laxmisiri Dandu,IND,
1466,Leonie Rabl,AUT,
1466,Luciana Blatter,ARG,
1466,Luisa Schruff,DEU,
1466,Magdalena Baniak,POL,2006/12/13
1466,Magdalena Stoilkovska,MKD,1996/4/12
1466,Margarita Ignatjeva,LAT,2001/6/25
1466,Maria Aytoyan,USA,2008/9/10
1466,Matylda Burylo,POL,
1466,Mia Chudejova,SVK,2003/7/30
1466,Mika Buchnik,ISR,2007/3/12
1466,Na Ri Kim,KOR,1990/4/4
1466,Paavanii Paathak,IND,2003/12/12
1466,Panna Bartha,HUN,2004/5/14
1466,Pauline Gloeckner,GER,
1466,Pooja Ingale,IND,2001/7/12
1466,Remika Ohashi,JPN,
1466,Rhiann Newborn,USA,1994/6/22
1466,Rinon Okuwaki,JPN,2004/12/30
1466,Sandeepti Singh Rao,IND,2003/5/8
1466,Sandugash Kenzhibayeva,KAZ,2005/3/18
1466,Saoirse Breen,FIJ,
1466,Silvia Husarova,SVK,
1466,Sofia Avataneo,ITA,2003/1/27
1466,Sophia Ksandinov,GER,
1466,Valeria Garnevska,BUL,
1466,Vanja Gudelj,NED,2002/10/27
1466,Viola Bedini,ITA,2007/2/2
